fuelType,rating,renterTripsTaken,reviewCount,city,state,owner_id,dailyRate,make,model,type,year
GASOLINE,4.98,72,59,Atlanta,GA,511103,116,Ford,Mustang,car,2019
GASOLINE,5,17,11,Atlanta,GA,8752492,136,Land Rover,Range Rover Sport,suv,2016
GASOLINE,4.82,56,50,Douglasville,GA,3983888,56,Infiniti,EX35,suv,2008
GASOLINE,4.93,22,15,East Point,GA,7697843,64,INFINITI,Q50,car,2018
GASOLINE,4.95,69,66,East Point,GA,7868475,90,Mercedes-Benz,E-Class,car,2016
GASOLINE,4.9,61,50,East Point,GA,7697843,55,Mazda,CX-5,suv,2018
GASOLINE,4.84,71,58,East Point,GA,7697843,29,smart,fortwo,car,2015
GASOLINE,5,17,16,Decatur,GA,15117491,78,BMW,Z4,car,2008
GASOLINE,4.89,9,9,Atlanta,GA,511103,102,Chevrolet,Camaro,car,2018
GASOLINE,4.93,19,15,Atlanta,GA,2052844,85,Land Rover,Range Rover Evoque,suv,2015
GASOLINE,5,2,2,Atlanta,GA,5513653,98,BMW,X4,suv,2018
GASOLINE,5,45,40,East Point,GA,7868475,90,Infiniti,QX60,suv,2015
ELECTRIC,5,21,19,Atlanta,GA,3991249,150,Tesla,Model 3,car,2020
GASOLINE,4.98,54,44,Atlanta,GA,499566,149,BMW,6 Series Gran Coupe,car,2013
GASOLINE,5,70,62,Atlanta,GA,1077705,195,BMW,M4,car,2015
GASOLINE,5,13,13,Alpharetta,GA,10851739,130,Mercedes-Benz,C-Class,car,2016
ELECTRIC,5,51,44,East Point,GA,1439133,209,Tesla,Model X,suv,2018
GASOLINE,4.94,61,51,Peachtree Corners,GA,6077494,123,Maserati,Ghibli,car,2015
GASOLINE,,0,0,Atlanta,GA,10696094,70,Mercedes-Benz,GLA-Class,suv,2015
GASOLINE,5,5,4,Atlanta,GA,7678058,250,Maserati,Ghibli,car,2015
GASOLINE,5,2,2,Atlanta,GA,12796797,120,Chevrolet,Camaro,car,2019
GASOLINE,5,39,31,Atlanta,GA,6580855,65,Mercedes-Benz,C-Class,car,2016
GASOLINE,5,14,14,Smyrna,GA,9971230,180,BMW,M4,car,2016
ELECTRIC,4.94,18,18,Atlanta,GA,4266637,156,Tesla,Model 3,car,2018
GASOLINE,5,13,13,Atlanta,GA,11968412,64,BMW,5 Series,car,2011
